VARIABLES ="X","H","U","surface" 
Zone T="0" i=200,j=1
0.0 0.0 -0.04735812544822693 3722.0
12.5 0.0 -0.04029402136802673 3722.0
25.0 0.0172443687915802 -0.036186546087265015 3724.0172443687916
37.5 0.050730735063552856 -0.036453694105148315 3726.0507307350636
50.0 0.0375998318195343 -0.04332289099693298 3728.0375998318195
62.5 0.14297202229499817 -0.02668336033821106 3728.142972022295
75.0 0.6776556968688965 0.014527887105941772 3728.677655696869
87.5 1.1996431350708008 -0.002144366502761841 3727.199643135071
100.0 1.5803930759429932 -0.015253573656082153 3725.580393075943
112.5 2.048248291015625 0.07933393120765686 3726.0482482910156
125.0 2.6504061222076416 0.28991737961769104 3722.6504061222076
137.5 4.602653980255127 0.38113918900489807 3720.602653980255
150.0 7.796194553375244 0.3191136419773102 3717.7961945533752
162.5 11.843814849853516 0.46617332100868225 3713.8438148498535
175.0 18.47937774658203 0.4548288881778717 3706.479377746582
187.5 25.188220977783203 0.22228804230690002 3701.188220977783
200.0 27.806427001953125 -0.2610560357570648 3697.806427001953
212.5 32.03969955444336 -0.08475813269615173 3694.0396995544434
225.0 44.48102569580078 0.16043606400489807 3684.481025695801
237.5 58.8504524230957 0.23228803277015686 3670.8504524230957
250.0 62.3555793762207 0.3527008593082428 3666.3555793762207
262.5 64.33718872070312 0.36817970871925354 3660.337188720703
275.0 66.02789306640625 0.31425419449806213 3654.0278930664062
287.5 68.01263427734375 0.27169886231422424 3648.0126342773438
300.0 70.0363540649414 0.2517613470554352 3644.0363540649414
312.5 71.06625366210938 0.2388695776462555 3639.0662536621094
325.0 73.91561889648438 0.1741580069065094 3633.9156188964844
337.5 79.72151184082031 0.05833140015602112 3627.7215118408203
350.0 84.3199462890625 -0.061160653829574585 3624.3199462890625
362.5 88.866943359375 -0.16710767149925232 3620.866943359375
375.0 96.23737335205078 -0.23076781630516052 3616.237373352051
387.5 104.98429107666016 -0.22416934370994568 3608.98429107666
400.0 107.56130981445312 -0.1443072259426117 3605.561309814453
412.5 108.1082534790039 -0.03216037154197693 3600.108253479004
425.0 104.30291748046875 0.07344380021095276 3590.3029174804688
437.5 98.1457290649414 0.14013424515724182 3578.1457290649414
450.0 94.87237548828125 0.15278616547584534 3572.8723754882812
462.5 92.92552185058594 0.13696375489234924 3568.925521850586
475.0 91.95418548583984 0.1452712118625641 3563.95418548584
487.5 93.81363677978516 0.14934006333351135 3557.813636779785
500.0 95.98101806640625 0.12316933274269104 3553.9810180664062
512.5 97.68489074707031 0.04643240571022034 3549.6848907470703
525.0 99.48812866210938 -0.07437524199485779 3543.4881286621094
537.5 101.22712707519531 -0.20198306441307068 3531.2271270751953
550.0 100.06935119628906 -0.21408900618553162 3524.069351196289
562.5 100.24988555908203 -0.155582994222641 3516.249885559082
575.0 102.41696166992188 -0.0846010148525238 3508.416961669922
587.5 106.9752197265625 -0.03134593367576599 3498.9752197265625
600.0 109.99496459960938 0.0013674795627593994 3493.9949645996094
612.5 111.6429443359375 -0.010173410177230835 3489.6429443359375
625.0 113.8363037109375 -0.07295045256614685 3481.8363037109375
637.5 114.67964935302734 -0.14077863097190857 3472.6796493530273
650.0 114.11919403076172 -0.17215260863304138 3466.1191940307617
662.5 114.05419158935547 -0.16186198592185974 3460.0541915893555
675.0 115.02256774902344 -0.1186724603176117 3453.0225677490234
687.5 116.09109497070312 -0.06549128890037537 3444.091094970703
700.0 116.7259521484375 -0.03238829970359802 3438.7259521484375
712.5 116.11705780029297 -0.04007682204246521 3432.117057800293
725.0 115.66165161132812 -0.09624966979026794 3423.661651611328
737.5 112.03913879394531 -0.18280181288719177 3410.0391387939453
750.0 109.41043090820312 -0.2823677957057953 3401.410430908203
762.5 108.71276092529297 -0.36542949080467224 3392.712760925293
775.0 108.57026672363281 -0.4061919152736664 3382.570266723633
787.5 106.70115661621094 -0.38139066100120544 3370.701156616211
800.0 104.41919708251953 -0.291416734457016 3362.4191970825195
812.5 102.97245025634766 -0.15007171034812927 3356.9724502563477
825.0 104.07359313964844 0.060410887002944946 3350.0735931396484
837.5 106.3748779296875 0.27977266907691956 3342.3748779296875
850.0 107.40093994140625 0.4012388288974762 3337.4009399414062
862.5 105.62015533447266 0.3982323706150055 3327.6201553344727
875.0 101.1082763671875 0.3071497976779938 3317.1082763671875
887.5 92.17279052734375 0.2807735502719879 3298.1727905273438
900.0 87.81390380859375 0.2233838140964508 3289.8139038085938
912.5 85.45035552978516 0.1591900885105133 3283.450355529785
925.0 82.9249496459961 0.0903882086277008 3276.924949645996
937.5 74.1795425415039 0.011996179819107056 3260.179542541504
950.0 68.40911102294922 -0.02765330672264099 3250.409111022949
962.5 64.66144561767578 -0.0820976197719574 3242.661445617676
975.0 63.68147659301758 -0.18709787726402283 3235.6814765930176
987.5 58.27614212036133 -0.2538841664791107 3224.2761421203613
1000.0 54.91326904296875 -0.31127581000328064 3216.9132690429688
1012.5 51.14078140258789 -0.29330453276634216 3209.140781402588
1025.0 46.692527770996094 -0.12292060256004333 3198.692527770996
1037.5 42.14208984375 0.10395660996437073 3184.14208984375
1050.0 40.08207702636719 0.19027796387672424 3178.082077026367
1062.5 37.301719665527344 0.25396862626075745 3169.3017196655273
1075.0 32.48786163330078 0.24156561493873596 3160.487861633301
1087.5 24.005178451538086 -0.37194737792015076 3142.005178451538
1100.0 21.441436767578125 -0.5462108850479126 3133.441436767578
1112.5 19.598867416381836 -0.5634428262710571 3125.598867416382
1125.0 17.55143928527832 -0.6446932554244995 3115.5514392852783
